cnt,material,product_uid
1,Galvanized Steel,100001.0
1,Composite,100003.0
1,Plastic,100007.0
1,mdf,100009.0
1,Steel,100010.0
1,Bamboo,100012.0
1,Plastic,100014.0
1,Bamboo,100015.0
1,Aluminum,100017.0
1,Plastic,100018.0
1,mdf,100019.0
1,Concrete,100023.0
1,Concrete,100026.0
1,Wood,100028.0
1,Steel,100030.0
1,PVC,100032.0
1,Wire,100033.0
1,Tampico,100034.0
1,Metal,100036.0
1,Fabric,100037.0
1,Steel,100039.0
1,Vinyl,100040.0
1,Vitreous China,100042.0
1,Grout,100043.0
1,Acrylic,100044.0
1,Metal,100045.0
1,Metal,100046.0
1,Steel,100047.0
1,Aluminum,100048.0
1,Steel,100054.0
1,Ceramic,100059.0
1,Vinyl,100060.0
1,Vinyl,100064.0
1,Ceramic,100065.0
1,Galvanized Steel,100071.0
1,Fabric,100073.0
1,Bamboo,100075.0
1,Wood,100076.0
1,Iron,100077.0
1,Steel,100080.0
1,Composite,100081.0
1,Metal/ Slate,100082.0
1,Plastic,100083.0
1,Vinyl,100085.0
1,Aluminum,100088.0
1,mdf,100096.0
1,Plastic,100098.0
1,Aluminum,100099.0
1,Aluminum,100100.0
1,Vitreous China,100108.0
1,Composite,100115.0
1,Asian hardwood legs with Asian hardwood veneer over MDF,100117.0
1,Steel,100122.0
1,Plastic,100123.0
1,Polyethylene,100128.0
1,Plastic,100131.0
1,Vitreous China,100136.0
1,Steel,100142.0
1,Composite,100145.0
1,Vinyl,100146.0
1,Fiberglass,100147.0
1,Fiberglass,100148.0
1,Bamboo,100155.0
1,Ceramic,100158.0
1,"steel, wood",100164.0
1,Wood,100165.0
1,Steel,100167.0
1,Steel,100170.0
1,Metal,100177.0
1,mdf,100181.0
1,Fiberglass,100183.0
1,Steel,100184.0
1,Metal,100185.0
1,Steel,100188.0
1,MDF / Composite Wood,100189.0
1,Manufactured from laminated particle board,100190.0
1,Wood,100193.0
1,Galvanized Steel,100195.0
1,Polypropylene with Jute backing,100204.0
1,Iron,100207.0
1,Brass,100208.0
1,Steel,100209.0
1,Wood,100212.0
1,Rubber,100213.0
1,Concrete,100214.0
1,Plastic,100215.0
1,Metal,100219.0
1,Steel,100220.0
1,Steel,100221.0
1,Wood,100224.0
1,Steel,100227.0
1,Clay,100229.0
1,"Polytaft, fiberglass",100233.0
1,Aluminum,100235.0
1,Resin,100241.0
1,mdf,100244.0
1,Polyester,100245.0
1,Metal,100252.0
1,Plastic,100255.0
1,Wood,100257.0
1,Wood,100260.0
1,Bamboo,100262.0
1,Fiberglass,100270.0
1,Composite,100271.0
1,Wood,100272.0
1,Plastic,100276.0
1,Vinyl,100278.0
1,Aluminum,100286.0
1,Metal,100290.0
1,Vitreous China,100299.0
1,PVC,100301.0
1,Aluminum,100304.0
1,Concrete,100305.0
1,Steel,100306.0
1,Engineered wood,100314.0
1,Galvanized Steel,100315.0
1,Vinyl,100320.0
1,Vinyl,100321.0
1,Metal,100323.0
1,mdf,100327.0
1,Aluminum,100328.0
1,Wood,100329.0
1,Composite,100330.0
1,Brass,100332.0
1,Plastic,100336.0
1,Laminate,100337.0
1,Concrete,100340.0
1,Steel,100341.0
1,Composite,100345.0
1,Bamboo,100348.0
1,Metal,100349.0
1,Fabric,100350.0
1,Plastic,100354.0
1,Aluminum,100356.0
1,Laminate,100359.0
1,Polyethylene,100363.0
1,Ceramic,100368.0
1,Plastic,100370.0
1,Aluminum,100373.0
1,Fabric,100376.0
1,Plastic,100377.0
1,Wire,100380.0
1,Brass,100381.0
1,Wood,100382.0
1,Concrete,100383.0
1,Wood,100387.0
1,Vitreous China,100388.0
1,Composite,100391.0
1,Steel,100393.0
1,Concrete,100396.0
1,Steel,100397.0
1,Vitreous China,100399.0
1,Cable,100404.0
1,Steel,100414.0
